# Reynolds number time series
# <Re(t)> averaged between 200.000000 and 250.000000 with sampling frequency 0.500000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
235.000000	 62204.520325	 51144.266594	 47730.200807	 39282.837994	 41031.039590	 39393.637060	 65662.269687	 56561.820108	 54161.191875	 46083.778328	 51769.587192	 46722.947782	 
235.500000	 61294.326782	 51191.938397	 45172.118575	 39233.022683	 39882.349860	 39354.213073	 64815.487245	 56630.800906	 51213.028053	 46044.813355	 48570.321336	 46734.184681	 
236.000000	 59635.889027	 51206.174878	 42656.976049	 39221.053346	 40387.091171	 39288.601424	 65947.834580	 56643.099870	 53169.331815	 46042.408350	 47957.148698	 46710.446722	 
236.500000	 58701.672282	 51197.064563	 43743.866968	 39249.840654	 41133.520876	 39208.943686	 66881.379603	 56634.091613	 56483.686013	 46073.759047	 49825.039849	 46652.380290	 
237.000000	 57430.939957	 51170.336265	 44847.048742	 39323.498640	 42352.626216	 39117.436197	 64973.528637	 56592.631075	 54542.489945	 46142.377981	 48605.201942	 46566.046429	 
237.500000	 57793.918912	 51129.504877	 47774.691719	 39432.947274	 43118.336573	 39024.334048	 63126.060041	 56570.782898	 54091.807150	 46242.555295	 48883.601697	 46479.283897	 
238.000000	 56330.178974	 51097.354326	 47955.945126	 39539.384680	 43362.977180	 38937.844580	 61047.551215	 56558.740762	 55912.896225	 46352.934935	 49289.386207	 46411.091802	 
238.500000	 55420.073348	 51037.635377	 47248.896762	 39629.229949	 42110.176999	 38885.743009	 61363.559233	 56530.997094	 57598.716423	 46455.545137	 48951.974886	 46368.262789	 
239.000000	 55230.326058	 50945.904020	 48099.928746	 39710.862153	 39222.519397	 38869.614176	 61758.899210	 56474.970916	 59821.268153	 46563.375081	 47991.254524	 46372.133567	 
239.500000	 56291.372261	 50864.921944	 47705.499185	 39810.795116	 42882.791182	 38850.152792	 64173.165629	 56453.105971	 60359.691081	 46704.519674	 52739.596800	 46451.051361	 
240.000000	 57410.768660	 50792.209926	 49446.704556	 39914.543512	 41038.271778	 38843.554157	 66445.683795	 56434.264947	 62211.143766	 46863.636070	 50432.281906	 46500.174068	 
240.500000	 59122.127425	 50728.616252	 51290.028311	 40052.882195	 39943.083991	 38798.108808	 69836.800815	 56414.101433	 63652.465488	 47068.215591	 48084.314245	 46467.504940	 
241.000000	 60364.275227	 50630.625099	 50210.861553	 40173.438271	 40990.157984	 38725.745471	 71358.870459	 56337.792871	 62920.865986	 47241.218640	 47032.364181	 46401.023100	 
241.500000	 59656.552924	 50499.828453	 46644.386388	 40202.394202	 41825.057910	 38638.078865	 70494.564007	 56244.625888	 58092.420145	 47302.892363	 48965.000596	 46342.635340	 
